id,Name,Transition,Type of news,Icon,LAT_Y,LONG_X,Address,Town,Province,Can,Ownership,Date,What happened?,NumGoodSource,NumBadSource,Source 1,Source 2,Doc:Pub,Doc1:Pub1,Doc:SelfPub,Doc:Wiki,Doc:FishWrap,Doc:NewspaperCanada,Document4 - Unifor
38,Metro Winnipeg,new,daily paper - free,daily paper - free : new,49.8953213,-97.136496,,Winnipeg,MB,Canada,Metroland,4/4/2011,"Metro Canada launched Metro London, a free daily paper, on April 4, 2011. ",0,2,http://metronews.ca/about/,,,,http://metronews.ca/about/,,http://fishwrap.ca/newspaper_changelog.html,,
39,The Saskatoon Express,new,community paper,community paper : new,52.1336,-106.6704,,Saskatoon,SK,Canada,independent,6/25/2011,"The Saskatoon Express, a new weekly community newspaper, launched in 2011. ",1,1,http://j-source.ca/article/community-news-start-saskatoon-express,,http://j-source.ca/article/community-news-start-saskatoon-express,,,,,Newspapers Canada Year in Review - 2012,
40,Radio West,increase,radio - public,radio - public : increase,49.8852782,-119.49832,,Kelowna,BC,Canada,CBC,10/6/2011,"CBC radio started a drive home (afternoon) show, based in Kelowna in 2011.",1,0,http://www.kelownacapnews.com/news/128850758.html,,http://www.kelownacapnews.com/news/128850758.html,,,,,,
41,Saint John Newschasers,new,online,online : new,45.2733153,-66.0633081,,Saint John,NB,Canada,independent,11/1/2011,Saint John Newschasers is an online site which publishes local news via Twitter and Facebook. ,1,1,https://discover.twitter.com/first-tweet#SJ_NC,,https://discover.twitter.com/first-tweet#SJ_NC,,https://twitter.com/SJ_NC & https://www.facebook.com/saintjohnnewschaser/info?tab=page_info,,,,
42,Public Eye,closed,online,online : closed,48.4284207,-123.3656444,,Victoria,BC,Canada,independent,11/2/2011,"The Public Eye was an online site that reported politics. It wasn't financially sustainable for Sean Holman, the reporter/publisher/owner, so it was closed in 2011. ",1,1,http://thetyee.ca/News/2011/11/02/Public-Eye-Not-Online/,,http://thetyee.ca/News/2011/11/02/Public-Eye-Not-Online/,,http://www.publiceyeonline.com/archives/006358.html,,,,
43,LaSalle Silhouette,closed,community paper,community paper : closed,43.317431,-79.826372,,La Salle,ON,Canada,Dunn Publishing,12/15/2011,The LaSalle Silhouette was closed in December 2011. ,2,0,http://blogs.windsorstar.com/news/tecumseh-weekly-goes-bust,http://blogs.windsorstar.com/news/74855,http://blogs.windsorstar.com/news/tecumseh-weekly-goes-bust,http://blogs.windsorstar.com/news/74855,,,,,
44,Tecumseh Tribune,closed,community paper,community paper : closed,42.3117966,-82.8857592,,Tecumseh,ON,Canada,Dunn Publishing,1/19/2012,Tecumseh Tribune ceased publication at the beginning of 2012. ,2,1,http://blogs.windsorstar.com/news/tecumseh-weekly-goes-bust,http://blogs.windsorstar.com/news/74855,http://blogs.windsorstar.com/news/tecumseh-weekly-goes-bust,http://blogs.windsorstar.com/news/74855,,,,Newspapers Canada Year in Review - 2012,
45,Caledonia Regional News This Week,closed,community paper,community paper : closed,43.0630162,-79.961512,,Caledonia,ON,Canada,independent,2/10/2012,The Caledonia Regional News This Week closed at the beginning of 2012 due to decreasing ad revenue. ,1,1,http://news.nationalpost.com/full-comment/christie-blatchford-caledonia-loses-brave-feisty-voice-as-regional-shuts-its-doors,,http://news.nationalpost.com/full-comment/christie-blatchford-caledonia-loses-brave-feisty-voice-as-regional-shuts-its-doors,,,,,Newspapers Canada Year in Review - 2012,
46,News Now,new,community paper,community paper : new,43.1940802,-79.561288,,Grimsby,ON,Canada,independent,6/1/2012,"Grimsby News Now, a new weekly community newspaper, launches.",0,2,http://wn3.ca/about-newsnow/,,,,http://wn3.ca/about-newsnow/,,,Newspapers Canada Year in Review - 2012,
47,The Montreal Mirror ,closed,community paper,community paper : closed,45.500212,-73.557509,400 Rue McGill,Montreal,QC,Canada,Sun Media,6/22/2012,"""The growing popularity of digital media and communications has irremediably changed the context in which free cultural weeklies operate, bringing about economic challenges which have unfortunately compromised The Mirror's viability."" (Marketwire news release)",2,1,http://j-source.ca/article/why-we-should-care-when-community-newspaper-shuts-down,http://www.marketwired.com/press-release/montreal-mirror-to-end-publication-tsx-qbr.a-1672679.htm,http://j-source.ca/article/why-we-should-care-when-community-newspaper-shuts-down,http://www.marketwired.com/press-release/montreal-mirror-to-end-publication-tsx-qbr.a-1672679.htm,,https://en.wikipedia.org/wiki/Montreal_Mirror,,,
48,Calgary Herald,decrease (arrow),daily paper - paid,daily paper - paid : decrease (arrow),51.0513325,-114.01596,,Calgary,AB,Canada,Postmedia,8/5/2012,The Calgary Herald moved to a weekend edition printed Saturday and will no longer publish on Sundays.,2,1,http://www.cbc.ca/news/canada/edmonton/edmonton-journal-cutting-sunday-paper-1.1163850,http://www.huffingtonpost.ca/2012/05/28/postmedia-cuts-layoffs_n_1551090.html,http://www.cbc.ca/news/canada/edmonton/edmonton-journal-cutting-sunday-paper-1.1163850,http://www.huffingtonpost.ca/2012/05/28/postmedia-cuts-layoffs_n_1551090.html,,,,Newspapers Canada Year in Review - 2012,
49,Edmonton Journal,decrease (arrow),daily paper - paid,daily paper - paid : decrease (arrow),53.5400149,-113.494227,10006 101 St NW,Edmonton,AB,Canada,Postmedia,6/30/2012,The Edmonton Journal cancelled its Sunday edition.,2,1,http://www.cbc.ca/news/canada/edmonton/edmonton-journal-cutting-sunday-paper-1.1163850,http://www.huffingtonpost.ca/2012/05/28/postmedia-cuts-layoffs_n_1551090.html,http://www.cbc.ca/news/canada/edmonton/edmonton-journal-cutting-sunday-paper-1.1163850,http://www.huffingtonpost.ca/2012/05/28/postmedia-cuts-layoffs_n_1551090.html,,,,Newspapers Canada Year in Review - 2012,
50,Ottawa Citizen,decrease (arrow),daily paper - paid,daily paper - paid : decrease (arrow),45.3524471,-75.782326,,Ottawa,ON,Canada,Postmedia,6/24/2012,The Ottawa Citizen moved to a weekend edition printed Saturday and will no longer publish on Sundays.,2,1,http://www.cbc.ca/news/canada/edmonton/edmonton-journal-cutting-sunday-paper-1.1163850,http://www.huffingtonpost.ca/2012/05/28/postmedia-cuts-layoffs_n_1551090.html,http://www.cbc.ca/news/canada/edmonton/edmonton-journal-cutting-sunday-paper-1.1163850,http://www.huffingtonpost.ca/2012/05/28/postmedia-cuts-layoffs_n_1551090.html,,,,Newspapers Canada Year in Review - 2012,
51,Gazeta (Toronto ed.),decrease,community paper,community paper : decrease,43.6463441,-79.4490509,Roncesvalles,Toronto,ON,Canada,independent,9/1/2014,"Polish newspaper Gazeta (Toronto ed.) dropped to three times a week in 2012, and became a weekly newspaper as of 2014.",0,2,http://www.gazetagazeta.com/about-us/,,,,http://www.gazetagazeta.com/about-us/,,http://fishwrap.ca/newspaper_changelog.html,,
53,Openfile.ca - Calgary,closed,online,online : closed,51.0453738,-114.0566039,,Calgary,AB,Canada,independent,9/28/2012,"Openfile.ca, an online local news site that provided local news in six Canadian cities ceased publication September 28, 2012. It was launched in mid 2010.",1,0,http://www.thestar.com/news/gta/2012/09/28/openfile_news_website_suspends_publishing_ahead_of_pretty_big_change.html,,http://www.thestar.com/news/gta/2012/09/28/openfile_news_website_suspends_publishing_ahead_of_pretty_big_change.html,,,,,,
54,Openfile.ca - Halifax,closed,online,online : closed,44.6489627,-63.5753838,,Halifax,NS,Canada,independent,9/28/2012,"Openfile.ca, an online local news site that provided local news in six Canadian cities ceased publication September 28, 2012. It was launched in mid 2010.",1,0,http://www.thestar.com/news/gta/2012/09/28/openfile_news_website_suspends_publishing_ahead_of_pretty_big_change.html,,http://www.thestar.com/news/gta/2012/09/28/openfile_news_website_suspends_publishing_ahead_of_pretty_big_change.html,,,,,,
55,Openfile.ca - Montreal,closed,online,online : closed,45.508922,-73.5539963,275 Rue Notre-Dame E,Montreal,QC,Canada,independent,9/28/2012,"Openfile.ca, an online local news site that provided local news in six Canadian cities ceased publication September 28, 2012. It was launched in mid 2010.",1,0,http://www.thestar.com/news/gta/2012/09/28/openfile_news_website_suspends_publishing_ahead_of_pretty_big_change.html,,http://www.thestar.com/news/gta/2012/09/28/openfile_news_website_suspends_publishing_ahead_of_pretty_big_change.html,,,,,,
56,Openfile.ca - Ottawa,closed,online,online : closed,45.4212721,-75.6899788,"110 Laurier Avenue West,",Ottawa,ON,Canada,independent,9/28/2012,"Openfile.ca, an online local news site that provided local news in six Canadian cities ceased publication September 28, 2012. It was launched in mid 2010.",1,0,http://www.thestar.com/news/gta/2012/09/28/openfile_news_website_suspends_publishing_ahead_of_pretty_big_change.html,,http://www.thestar.com/news/gta/2012/09/28/openfile_news_website_suspends_publishing_ahead_of_pretty_big_change.html,,,,,,
57,Openfile.ca - Toronto,closed,online,online : closed,43.6390683,-79.420223,,Toronto,ON,Canada,independent,9/28/2012,"Openfile.ca, an online local news site that provided local news in six Canadian cities ceased publication September 28, 2012. It was launched in mid 2010.",1,0,http://www.thestar.com/news/gta/2012/09/28/openfile_news_website_suspends_publishing_ahead_of_pretty_big_change.html,,http://www.thestar.com/news/gta/2012/09/28/openfile_news_website_suspends_publishing_ahead_of_pretty_big_change.html,,,,,,
58,Openfile.ca - Vancouver,closed,online,online : closed,49.2638427,-123.13426,,Vancouver,BC,Canada,independent,9/28/2012,"Openfile.ca, an online local news site that provided local news in six Canadian cities ceased publication September 28, 2012. It was launched in mid 2010.",1,0,http://www.thestar.com/news/gta/2012/09/28/openfile_news_website_suspends_publishing_ahead_of_pretty_big_change.html,,http://www.thestar.com/news/gta/2012/09/28/openfile_news_website_suspends_publishing_ahead_of_pretty_big_change.html,,,,,,
59,Amherstburg Echo,closed,community paper,community paper : closed,42.1013779,-83.1086977,,Amherstburg,ON,Canada,Sun Media,10/1/2012,"The Amherstburg Echo, one of the oldest newspapers in Canada, was closed in October, 2012. ",2,1,http://blogs.windsorstar.com/news/leamington-post-windsor-this-week-shut-down,http://blogs.windsorstar.com/news/74855,http://blogs.windsorstar.com/news/leamington-post-windsor-this-week-shut-down,http://blogs.windsorstar.com/news/74855,,https://en.wikipedia.org/wiki/Amherstburg_Echo,,,
60,Daybreak,new,radio - public,radio - public : new,50.6761106,-120.3361843,218 Victoria St,Kamloops,BC,Canada,CBC,10/9/2012,"CBC radio launched a new morning show in Kamloop , in 2012. ",1,0,http://www.cbc.ca/news/canada/british-columbia/cbc-launches-new-morning-radio-show-in-kamloops-1.1184761,,http://www.cbc.ca/news/canada/british-columbia/cbc-launches-new-morning-radio-show-in-kamloops-1.1184761,,,,,,
61,Ottawa Capital City News,closed,community paper,community paper : closed,45.4034127,-75.711064,,Ottawa,ON,Canada,Sun Media,12/1/2012,"On March 14, 2012, Sun Media launched a weekly newspaper in Ottawa. It closed by the end of the year. ",0,2,http://www.saultthisweek.com/2012/03/14/sun-media-adds-four-new-papers-8,,,,http://www.saultthisweek.com/2012/03/14/sun-media-adds-four-new-papers-8,,,http://www.newspaperscanada.ca/sites/default/files/2012CommunityNewspaperRevenueStudyFINAL-2.pdf,
62,West Niagara News ,closed,community paper,community paper : closed,43.1940802,-79.561288,,Beamsville,ON,Canada,Sun Media,12/1/2012,"West Niagara News was closed by Sun Media at the end of 2012. It happened at the same time as the Dunnville Chronicle, leaving one newspaper that covers the entire Niagara region. ",2,0,http://j-source.ca/article/why-we-should-care-when-community-newspaper-shuts-down,http://www.thespec.com/news-story/2125580-sun-media-shutters-two-niagara-news-outlets-in-one-week/,http://j-source.ca/article/why-we-should-care-when-community-newspaper-shuts-down,http://www.thespec.com/news-story/2125580-sun-media-shutters-two-niagara-news-outlets-in-one-week/,,,,,
63,Guelph Review ,closed,community paper,community paper : closed,43.5304446,-80.224799,,Guelph,ON,Canada,Sun Media,12/1/2012,"On March 14, 2012, Sun Media launched a weekly newspaper in Guelph. It closed at the end of 2012.",2,1,http://j-source.ca/article/why-we-should-care-when-community-newspaper-shuts-down,http://www.saultthisweek.com/2012/03/14/sun-media-adds-four-new-papers-8,http://j-source.ca/article/why-we-should-care-when-community-newspaper-shuts-down,http://www.saultthisweek.com/2012/03/14/sun-media-adds-four-new-papers-8,,,,Newspapers Canada Year in Review - 2012,
64,Kitchener-Waterloo Review (aka K-W Review),closed,community paper,community paper : closed,43.4642578,-80.5204096,,Waterloo,ON,Canada,Sun Media,12/1/2012,"On March 14, 2012, Sun Media launched a weekly newspaper in Kitchener-Waterloo. It closed by the end of the year. ",2,1,http://j-source.ca/article/why-we-should-care-when-community-newspaper-shuts-down,http://www.saultthisweek.com/2012/03/14/sun-media-adds-four-new-papers-8,http://j-source.ca/article/why-we-should-care-when-community-newspaper-shuts-down,http://www.saultthisweek.com/2012/03/14/sun-media-adds-four-new-papers-8,,,,Newspapers Canada Year in Review - 2012,
65,Windsor This Week,closed,community paper,community paper : closed,42.2899221,-83.076817,,Windsor,ON,Canada,Sun Media,12/1/2012,"On March 14, 2012, Sun Media launched a weekly newspaper in Windsor. It closed by the end of the year. ",2,2,http://j-source.ca/article/opinion-closure-community-newspapers-represents-darker-and-more-serious-trend,http://www.saultthisweek.com/2012/03/14/sun-media-adds-four-new-papers-8,http://j-source.ca/article/opinion-closure-community-newspapers-represents-darker-and-more-serious-trend,http://www.saultthisweek.com/2012/03/14/sun-media-adds-four-new-papers-8,,http://blogs.windsorstar.com/news/leamington-post-windsor-this-week-shut-down,,Newspapers Canada Year in Review - 2012,
66,Capital City News,closed,community paper,community paper : closed,45.374632,-75.747898,,Ottawa,ON,Canada,Sun Media,12/3/2012," Sun Media closed the Capital City News, a community newspaper, at the end of 2012. ",2,0,http://j-source.ca/article/why-we-should-care-when-community-newspaper-shuts-down,http://www.ottawasun.com/2012/12/03/last-edition-of-capital-city-news,http://j-source.ca/article/why-we-should-care-when-community-newspaper-shuts-down,http://www.ottawasun.com/2012/12/03/last-edition-of-capital-city-news,,,,,
67,Leamington Post,closed,community paper,community paper : closed,42.0540828,-82.601866,,Leamington,ON,Canada,Sun Media,12/5/2012,"The Sun-owned Leamington Post was losing money, and was closed at the end of 2012. ",2,0,http://j-source.ca/article/opinion-closure-community-newspapers-represents-darker-and-more-serious-trend,http://blogs.windsorstar.com/news/leamington-post-windsor-this-week-shut-down,http://j-source.ca/article/opinion-closure-community-newspapers-represents-darker-and-more-serious-trend,http://blogs.windsorstar.com/news/leamington-post-windsor-this-week-shut-down,,,,,
68,The Daily Graphic,to community news,daily paper - paid,daily paper - paid : to community news,49.9714682,-98.315183,,Portage la Prarie,MB,Canada,Sun Media,3/1/2013,The Sun-owned Daily Graphic became a weekly publication from a daily in 2013. ,1,1,http://www.vancouversun.com/news/Newspapers+healthy+despite+Kamloops+Daily+News+closure+industry+spokesman+says/9355158/story.html,,http://www.vancouversun.com/news/Newspapers+healthy+despite+Kamloops+Daily+News+closure+industry+spokesman+says/9355158/story.html,,,,,http://www.newspaperscanada.ca/sites/default/files/2012-Daily-Newspapers-Circulation-Report-FINAL-10212013.xlsx,
69,Town Crier - Bayview Mills,closed,community paper,community paper : closed,43.6954632,-79.3712461,,"Bayview Mills, Toronto",ON,Canada,Multimedia Nova,5/28/2013,In May 2013 Multimedia Nova Corp. ceased publication of its Town Crier newspapers in the Greater Toronto Area after filing for bankruptcy. In August 2013 the Town Crier newspaper chain was purchased by a group of former employees with plans to re-launch the paper in September - the Bayview Mills paper was not relaunched. ,1,2,http://www.thestar.com/business/2013/05/28/town_crier_vaughan_today_to_suspend_publication_indefinitely.html,,http://www.thestar.com/business/2013/05/28/town_crier_vaughan_today_to_suspend_publication_indefinitely.html,,,https://en.wikipedia.org/wiki/Town_Crier_(newspaper),,Newspapers Canada Year in Review - 2013,
70,Town Crier - Beach-South Riverdale,closed,community paper,community paper : closed,43.669714,-79.353185,,"South Riverdale, Toronto",ON,Canada,Multimedia Nova,5/28/2013,In May 2013 Multimedia Nova Corp. ceased publication of its Town Crier newspapers in the Greater Toronto Area after filing for bankruptcy. In August 2013 the Town Crier newspaper chain was purchased by a group of former employees with plans to re-launch the paper in September - the Beach-South Riverdale paper was not relaunched. ,1,2,http://www.thestar.com/business/2013/05/28/town_crier_vaughan_today_to_suspend_publication_indefinitely.html,,http://www.thestar.com/business/2013/05/28/town_crier_vaughan_today_to_suspend_publication_indefinitely.html,,,https://en.wikipedia.org/wiki/Town_Crier_(newspaper),,Newspapers Canada Year in Review - 2013,
71,Town Crier - Bloor West,closed,community paper,community paper : closed,43.6590549,-79.439038,,"Bloor West, Toronto",ON,Canada,Multimedia Nova,5/28/2013,In May 2013 Multimedia Nova Corp. ceased publication of its Town Crier newspapers in the Greater Toronto Area after filing for bankruptcy. In August 2013 the Town Crier newspaper chain was purchased by a group of former employees with plans to re-launch the paper in September - the Bloor West paper was not relaunched. ,1,2,http://www.thestar.com/business/2013/05/28/town_crier_vaughan_today_to_suspend_publication_indefinitely.html,,http://www.thestar.com/business/2013/05/28/town_crier_vaughan_today_to_suspend_publication_indefinitely.html,,,https://en.wikipedia.org/wiki/Town_Crier_(newspaper),,Newspapers Canada Year in Review - 2013,
72,Town Crier - MidTown,closed,community paper,community paper : closed,43.6898373,-79.398642,,"MidTown, Toronto",ON,Canada,Multimedia Nova,5/28/2013,In May 2013 Multimedia Nova Corp. ceased publication of its Town Crier newspapers in the Greater Toronto Area after filing for bankruptcy. In August 2013 the Town Crier newspaper chain was purchased by a group of former employees with plans to re-launch the paper in September - the MidTown paper was not relaunched. ,1,2,http://www.thestar.com/business/2013/05/28/town_crier_vaughan_today_to_suspend_publication_indefinitely.html,,http://www.thestar.com/business/2013/05/28/town_crier_vaughan_today_to_suspend_publication_indefinitely.html,,,https://en.wikipedia.org/wiki/Town_Crier_(newspaper),,Newspapers Canada Year in Review - 2013,
73,Town Crier - North York ,closed,community paper,community paper : closed,43.7676135,-79.4146793,,"North York, Toronto",ON,Canada,Multimedia Nova,5/28/2013,In May 2013 Multimedia Nova Corp. ceased publication of its Town Crier newspapers in the Greater Toronto Area after filing for bankruptcy. In August 2013 the Town Crier newspaper chain was purchased by a group of former employees with plans to re-launch the paper in September - the North York paper was not relaunched. ,1,2,http://www.thestar.com/business/2013/05/28/town_crier_vaughan_today_to_suspend_publication_indefinitely.html,,http://www.thestar.com/business/2013/05/28/town_crier_vaughan_today_to_suspend_publication_indefinitely.html,,,https://en.wikipedia.org/wiki/Town_Crier_(newspaper),,Newspapers Canada Year in Review - 2013,
74,Town Crier - Riverdale-East York,closed,community paper,community paper : closed,43.6912006,-79.3416638,,"East York, Toronto",ON,Canada,Multimedia Nova,5/28/2013,In May 2013 Multimedia Nova Corp. ceased publication of its Town Crier newspapers in the Greater Toronto Area after filing for bankruptcy. In August 2013 the Town Crier newspaper chain was purchased by a group of former employees with plans to re-launch the paper in September - the Riverdale-East York paper was not relaunched. ,1,2,http://www.thestar.com/business/2013/05/28/town_crier_vaughan_today_to_suspend_publication_indefinitely.html,,http://www.thestar.com/business/2013/05/28/town_crier_vaughan_today_to_suspend_publication_indefinitely.html,,,https://en.wikipedia.org/wiki/Town_Crier_(newspaper),,Newspapers Canada Year in Review - 2013,
75,Town Crier - Toronto Today ,closed,community paper,community paper : closed,43.655704,-79.380644,Young & Dundas,Toronto,ON,Canada,Multimedia Nova,5/28/2013,"In May 2013 Multimedia Nova Corp. ceased publication of its Town Crier newspapers in the Greater Toronto Area after filing for bankruptcy. In August 2013 the Town Crier newspaper chain was purchased by a group of former employees with plans to re-launch the paper in September - the Toronto Today, which covered downtown Toronto, was not relaunched. ",1,2,http://www.thestar.com/business/2013/05/28/town_crier_vaughan_today_to_suspend_publication_indefinitely.html,,http://www.thestar.com/business/2013/05/28/town_crier_vaughan_today_to_suspend_publication_indefinitely.html,,,https://en.wikipedia.org/wiki/Town_Crier_(newspaper),,Newspapers Canada Year in Review - 2013,
76,Vaughan Today,closed,community paper,community paper : closed,43.7749061,-79.500529,,"Vaughan, Toronto",ON,Canada,Multimedia Nova,5/28/2013,Multimedia Nova went into receivership. Vaughan Today was closed in May 2013. ,2,1,http://www.thestar.com/business/2013/05/28/town_crier_vaughan_today_to_suspend_publication_indefinitely.html,http://o.canada.com/business/town-crier-community-newspaper-chain-closes-across-toronto,http://www.thestar.com/business/2013/05/28/town_crier_vaughan_today_to_suspend_publication_indefinitely.html,http://o.canada.com/business/town-crier-community-newspaper-chain-closes-across-toronto,https://www.facebook.com/VaughanToday,,,,
77,CityNews,closed,TV - private,TV - private : closed,43.649456,-79.390585,,Toronto,ON,Canada,Rogers,5/30/2013,"Rogers cancelled its 24-hour CityNews channel on May 30, 2013. The channel was launched in October 2011.",1,0,http://www.cbc.ca/news/business/rogers-cancels-citynews-channel-cuts-back-omni-1.1384977,,http://www.cbc.ca/news/business/rogers-cancels-citynews-channel-cuts-back-omni-1.1384977,,,,,,
78,The Midland Free Press ,closed,community paper,community paper : closed,44.7398115,-79.857292,,Midland,ON,Canada,Sun Media,6/20/2013,"In July 2013 Sun Media announced the closure of The Midland Free Press, a weekly publication. ",1,1,http://www.macleans.ca/general/sun-media-cutting-360-jobs-and-closing-11-papers/,,http://www.macleans.ca/general/sun-media-cutting-360-jobs-and-closing-11-papers/,,,,http://www.cbc.ca/news/business/sun-media-axes-11-newspapers-360-jobs-1.1385447,,
79,The Lac du Bonnet Leader ,closed,community paper,community paper : closed,50.2558506,-96.058893,,Lac du Bonnet,MB,Canada,Sun Media,6/27/2013,"In July 2013 Sun Media announced the closure of The Lac du Bonnet Leader, a weekly publication.",2,1,http://www.macleans.ca/general/sun-media-cutting-360-jobs-and-closing-11-papers/,http://www.winnipegfreepress.com/local/Lac-du-Bonnet-Beausejour-papers-to-cease-publication-213210021.html,http://www.macleans.ca/general/sun-media-cutting-360-jobs-and-closing-11-papers/,http://www.winnipegfreepress.com/local/Lac-du-Bonnet-Beausejour-papers-to-cease-publication-213210021.html,,,http://www.cbc.ca/news/business/sun-media-axes-11-newspapers-360-jobs-1.1385447,,
80,The Beausejour Review ,closed,community paper,community paper : closed,50.0617283,-96.5158517,,Beausejour,MB,Canada,Sun Media,6/27/2013,"In July 2013 Sun Media announced the closure of The Beausejour Review, a weekly publication.",2,2,http://www.macleans.ca/general/sun-media-cutting-360-jobs-and-closing-11-papers/,http://www.winnipegfreepress.com/local/Lac-du-Bonnet-Beausejour-papers-to-cease-publication-213210021.html,http://www.macleans.ca/general/sun-media-cutting-360-jobs-and-closing-11-papers/,http://www.winnipegfreepress.com/local/Lac-du-Bonnet-Beausejour-papers-to-cease-publication-213210021.html,http://eedition.beausejourreview.com/doc/Beausejour-Review/beausejour-review/2013062701/#0,http://www.cbc.ca/news/business/sun-media-axes-11-newspapers-360-jobs-1.1385447,,,
81,L’Action Regionale,closed,community paper,community paper : closed,45.4697382,-73.7449195,,Monteregie,QC,Canada,Sun Media,7/1/2013,"In July 2013 Sun Media announced the closure of L'Action Regionale, a weekly publication. ",2,0,http://business.financialpost.com/fp-tech-desk/sun-media-job-cuts-closing,http://www.cbc.ca/news/business/sun-media-axes-11-newspapers-360-jobs-1.1385447,http://business.financialpost.com/fp-tech-desk/sun-media-job-cuts-closing,http://www.cbc.ca/news/business/sun-media-axes-11-newspapers-360-jobs-1.1385447,,,,,
82,24-7 Red Deer,new,online,online : new,52.261985,-113.85408,,Red Deer,AB,Canada,independent,7/1/2013,"24-7 Red Deer is part of kiboodle.ca, which is a community social media platform. It was launched in summer of 2013.  ",,,http://kiboodle.ca/reddeer/,,,,http://kiboodle.ca/reddeer/,,,,
83,Le Magazine Saint-Lambert,closed,community paper,community paper : closed,45.500905,-73.509959,,Saint-Lambert,QC,Canada,Sun Media,7/2/2013,"In July 2013 Sun Media announced the closure of Le Magazine Saint-Lambert, a weekly publication in Quebec.",2,0,http://www.macleans.ca/general/sun-media-cutting-360-jobs-and-closing-11-papers/,http://www.cbc.ca/news/business/sun-media-axes-11-newspapers-360-jobs-1.1385447,http://www.macleans.ca/general/sun-media-cutting-360-jobs-and-closing-11-papers/,http://www.cbc.ca/news/business/sun-media-axes-11-newspapers-360-jobs-1.1385447,,,,,
84,Le Progrès de Bellechasse,closed,community paper,community paper : closed,46.6918563,-70.833894,,Bellechasse,QC,Canada,Sun Media,7/17/2013,"Sun Media closed the Le Progrès de Bellechasse in July, 2013. ",2,0,http://www.macleans.ca/general/sun-media-cutting-360-jobs-and-closing-11-papers/,http://www.cbc.ca/news/business/sun-media-axes-11-newspapers-360-jobs-1.1385447,http://www.macleans.ca/general/sun-media-cutting-360-jobs-and-closing-11-papers/,http://www.cbc.ca/news/business/sun-media-axes-11-newspapers-360-jobs-1.1385447,,,,,
85,Westbank and District Community Radio,new,radio - private,radio - private : new,49.863612,-119.5644584,,West Kelowna,BC,Canada,independent,7/26/2013,"Westbank and District Community Radio is a new community radio station that was launched in July, 2013. ",1,0,http://www.kelownacapnews.com/news/217126891.html,,http://www.kelownacapnews.com/news/217126891.html,,,,,,
86,Tekawennake News,closed,community paper,community paper : closed,44.1138622,-79.1127093,,Six Nations,ON,Canada,independent,7/31/2013,"The Tekawennake News, a community newspaper,  closed in July, 2013.",2,0,http://www.brantfordexpositor.ca/2013/07/31/new-newspaper-to-rise-as-teka-ceases-publication,http://www.thespec.com/news-story/4024944-six-nations-loses-50-year-old-newspaper/,http://www.brantfordexpositor.ca/2013/07/31/new-newspaper-to-rise-as-teka-ceases-publication,http://www.thespec.com/news-story/4024944-six-nations-loses-50-year-old-newspaper/,,,,,
87,Town Crier - Forest Hill,decrease,community paper,community paper : decrease,43.697473,-79.4169356,,"Forest Hill, Toronto",ON,Canada,independent,8/1/2013,In May 2013 Multimedia Nova Corp. ceased publication of its Town Crier newspapers in the Greater Toronto Area after filing for bankruptcy. In August 2013 the Town Crier newspaper chain was purchased by a group of former employees with plans to re-launch the paper in September - the Forest Hill paper was relaunched and publishes every two weeks. ,2,1,http://www.thestar.com/business/2013/05/28/town_crier_vaughan_today_to_suspend_publication_indefinitely.html,http://mytowncrier.ca/about/,http://www.thestar.com/business/2013/05/28/town_crier_vaughan_today_to_suspend_publication_indefinitely.html,http://mytowncrier.ca/about/,,https://en.wikipedia.org/wiki/Town_Crier_(newspaper),,,
88,Town Crier - Leaside-Rosedale,decrease,community paper,community paper : decrease,43.708826,-79.373499,,"Leaside, Toronto",ON,Canada,independent,8/1/2013,"In May 2013 Multimedia Nova Corp. ceased publication of its Town Crier newspapers in the Greater Toronto Area after filing for bankruptcy. In August 2013 the Town Crier newspaper chain was purchased by a group of former employees with plans to re-launch the paper in September - the Leaside-Rosedale paper was relaunched, and publishes every two weeks. ",2,1,http://www.thestar.com/business/2013/05/28/town_crier_vaughan_today_to_suspend_publication_indefinitely.html,http://mytowncrier.ca/about/,http://www.thestar.com/business/2013/05/28/town_crier_vaughan_today_to_suspend_publication_indefinitely.html,http://mytowncrier.ca/about/,,https://en.wikipedia.org/wiki/Town_Crier_(newspaper),,,
89,Town Crier - North Toronto,decrease,community paper,community paper : decrease,43.7124661,-79.399748,,North Toronto,ON,Canada,independent,8/1/2013,In May 2013 Multimedia Nova Corp. ceased publication of its Town Crier newspapers in the Greater Toronto Area after filing for bankruptcy. In August 2013 the Town Crier newspaper chain was purchased by a group of former employees with plans to re-launch the paper in September - the North Toronto paper was relaunched and publishes every two weeks. ,2,1,http://www.thestar.com/business/2013/05/28/town_crier_vaughan_today_to_suspend_publication_indefinitely.html,http://mytowncrier.ca/about/,http://www.thestar.com/business/2013/05/28/town_crier_vaughan_today_to_suspend_publication_indefinitely.html,http://mytowncrier.ca/about/,,https://en.wikipedia.org/wiki/Town_Crier_(newspaper),,,
